type,title,number_of_days,price,place
WCZASY,Hotel Grand Blue Fafa,10.09-15.09.22 (6 dni),4 048 PLN / os,Albania / Durres / Golem
WCZASY,Hotel Blue Sea Beach Resort,16.05-23.05.22 (8 dni),5 589 PLN / os,Grecja / Rodos / Faliraki
WCZASY,Hotel Fuerteventura Princess,16.05-23.05.22 (8 dni),5 198 PLN / os,Wyspy Kanaryjskie / Fuerteventura / Esquinzo
WCZASY,Hotel Zante Park Resort & SPA – BW Premier Collection,10.06-14.06.22 (5 dni),5 338 PLN / os,Grecja / Zakynthos / Laganas
WCZASY,Hotel Ramada Resort Akbuk,12.05-19.05.22 (8 dni),3 198 PLN / os,Turcja / Didyma / Akbuk
WCZASY,Hotel Horizont,18.06-23.06.22 (6 dni),2 842 PLN / os,Albania / Durres
WCZASY,Alarcha Hotels & Resorts,06.05-12.05.22 (6 dni),3 355 PLN / os,Turcja / Side / Manavgat
WCZASY,Hotel VIK Gran Costa Del Sol,02.05-10.05.22 (8 dni),3 289 PLN / os,Hiszpania / Costa del Sol / Cala De Mijas
WCZASY,Hotel Serra Palace (ex. LTI Serra Resort),13.05-19.05.22 (6 dni),3 398 PLN / os,Turcja / Side / Kızılot
WYCIECZKA OBJAZDOWA,Klasyczne Włochy,29.10-05.11.22 (8 dni),1 898 PLN / os,Włochy
WYCIECZKA OBJAZDOWA,Orient Express,31.08-07.09.22 (8 dni),2 329 PLN / os,Turcja
WCZASY,Hotel Impressive Punta Cana,25.06-02.07.22 (8 dni),9 649 PLN / os,Dominikana / Punta Cana / Bavaro
WCZASY,Hotel Grand Sahin’s Gumuldur Resort,06.05-13.05.22 (8 dni),2 998 PLN / os,Turcja / Kusadasi / Gumuldur
WCZASY,Hotel Ionis Art,10.06-14.06.22 (5 dni),4 875 PLN / os,Grecja / Zakynthos / Laganas
WCZASY,Hotel Fafa Aqua Blue,27.08-01.09.22 (6 dni),3 662 PLN / os,Albania / Durres
WCZASY,Hotel Prestige Resort,11.06-16.06.22 (6 dni),4 313 PLN / os,Albania / Durres / Golem
WCZASY,Hotel Acharavi Mare,08.10-16.10.22 (8 dni),5 819 PLN / os,Grecja / Korfu / Acharavi
WCZASY,Hotel VidaMar Resort Madeira,15.10-22.10.22 (8 dni),5 148 PLN / os,Madera / Funchal
WCZASY,Hotel Azure Memories,03.06-07.06.22 (5 dni),5 172 PLN / os,Grecja / Zakynthos / Tsilivi
WYCIECZKA OBJAZDOWA,Toskańska przygoda,31.05-05.06.22 (6 dni),1 299 PLN / os,Włochy
WCZASY,Hotel Arion Palace,12.06-19.06.22 (8 dni),4 799 PLN / os,Grecja / Kreta / Ierápetra
WCZASY,Hotel Dream Water World,26.08-31.08.22 (6 dni),3 673 PLN / os,Turcja / Side
WCZASY,Hotel R2 Pajara Beach,19.09-26.09.22 (8 dni),4 978 PLN / os,Wyspy Kanaryjskie / Fuerteventura / Costa Calma
WCZASY,Hotel Kadikale Resort Spa & Wellness,05.05-12.05.22 (8 dni),3 398 PLN / os,Turcja / Bodrum / Turgutreis
WCZASY,Hotel Sensitive Premium Resort & Spa,01.07-06.07.22 (6 dni),4 467 PLN / os,Turcja / Belek / Boğazkent
